date,Coffee,Corn,Soybean,Sugar,Wheat
2019-01-02,99.5,375.75,894.75,11.930000305175781,506.75
2019-01-03,102.1500015258789,379.75,900.25,11.6899995803833,513.75
2019-01-04,101.5999984741211,383,909.5,11.930000305175781,517
2019-01-07,102.75,382.25,912.25,12.649999618530273,516.75
2019-01-08,105.05000305175781,380,906.25,12.760000228881836,517.75
2019-01-09,105.30000305175781,382,911.5,12.869999885559082,520
2019-01-10,104.25,376.25,895.5,12.670000076293945,513.75
2019-01-11,103.8499984741211,378.25,899.25,12.779999732971191,519.5
2019-01-14,102.75,378.5,890.75,12.75,514.25
2019-01-15,101.30000305175781,371.25,893.25,13.15999984741211,511
2019-01-16,102.4000015258789,374,894.5,13.170000076293945,512.5
2019-01-17,102.4000015258789,380,907.75,12.850000381469727,517.75
2019-01-18,104.94999694824219,381.75,916.75,13.029999732971191,517.75
2019-01-22,103.3499984741211,379,909.25,12.930000305175781,521.25
2019-01-23,103.4000015258789,378.75,915,12.970000267028809,526
2019-01-24,105.30000305175781,377,916,12.979999542236328,521.5
2019-01-25,106.80000305175781,380.25,925.25,12.4399995803833,520
2019-01-28,102.6500015258789,379.75,923.25,12.789999961853027,518.75
2019-01-29,102.5999984741211,377.25,919,12.6899995803833,513.25
2019-01-30,102.0999984741211,381.25,921,12.529999732971191,516.75
2019-01-31,105.9000015258789,376.5,915.25,12.729999542236328,516.5
2019-02-01,103.69999694824219,378.25,917.75,12.600000381469727,524.25
2019-02-04,105.5999984741211,379.25,918.5,12.850000381469727,525.75
2019-02-05,104.8499984741211,380.75,920.25,12.819999694824219,527.25
2019-02-06,105.5,380,921.75,12.899999618530273,526
2019-02-07,104.30000305175781,376.5,913.25,12.729999542236328,513.25
2019-02-08,102.5999984741211,374.25,914.5,12.710000038146973,517.25
2019-02-11,100.19999694824219,372.75,905,12.670000076293945,518.25
2019-02-12,100.44999694824219,378.25,917.5,12.850000381469727,520
2019-02-13,98.9000015258789,378.75,916.5,12.75,522.25
2019-02-14,97.8499984741211,374.75,903.5,12.609999656677246,507
2019-02-15,97.94999694824219,374.75,907.5,13.140000343322754,504.25
2019-02-19,97.19999694824219,369.75,900.75,13.350000381469727,489.75
2019-02-20,97.55000305175781,370.75,902.5,13.4399995803833,480.75
2019-02-21,96.0999984741211,375.5,911,13.239999771118164,486.5
2019-02-22,96.44999694824219,375.25,910.25,13.369999885559082,486.75
2019-02-25,96.4000015258789,370.5,911.75,13.100000381469727,466.75
2019-02-26,93.55000305175781,366.25,903.75,12.880000114440918,460.25
2019-02-27,95.69999694824219,363.75,903.5,12.90999984741211,461
2019-02-28,95.19999694824219,362,897.5,12.729999542236328,452.5
2019-03-01,96.94999694824219,364,899.25,12.619999885559082,454
2019-03-04,94.0999984741211,365,903.25,12.359999656677246,446.75
2019-03-05,96.44999694824219,366,901.25,12.4399995803833,454.25
2019-03-06,95.5,362.5,889.75,12.15999984741211,440.5
2019-03-07,93.6500015258789,356,890.75,12.140000343322754,431.5
2019-03-08,95.30000305175781,354.75,883.75,12.180000305175781,432.75
2019-03-11,94,352.5,877.75,12.289999961853027,422.25
2019-03-12,92.80000305175781,356.5,884.75,12.329999923706055,446.25
2019-03-13,94.44999694824219,357.25,889,12.359999656677246,440.25
2019-03-14,93.94999694824219,361.5,889.5,12.40999984741211,448.25
2019-03-15,94.5999984741211,373.25,909.25,12.520000457763672,462.25
2019-03-18,93.6500015258789,371.5,905.75,12.84000015258789,456.75
2019-03-19,93.44999694824219,371.25,904,12.779999732971191,456.5
2019-03-20,94.75,371.5,906,12.739999771118164,464.75
2019-03-21,94.80000305175781,376.25,910.5,12.5,466.5
2019-03-22,93.9000015258789,378.25,903.75,12.569999694824219,466
2019-03-25,94.25,379.75,906.5,12.479999542236328,469.5
2019-03-26,95.3499984741211,377.25,900.75,12.59000015258789,469.25
2019-03-27,93.8499984741211,373.75,887.5,12.579999923706055,469.5
2019-03-28,94,374,889.5,12.529999732971191,464.5
2019-03-29,94.5,356.5,884.25,12.529999732971191,457.75
2019-04-01,92.0999984741211,361.75,895.5,12.670000076293945,462.75
2019-04-02,91.6500015258789,361.5,900,12.65999984741211,464
2019-04-03,95.3499984741211,362.75,898.75,12.420000076293945,471
2019-04-04,95.30000305175781,365.25,906.5,12.710000038146973,470.75
2019-04-05,93.19999694824219,362.5,899,12.760000228881836,467.75
2019-04-08,92.94999694824219,360,898.75,12.569999694824219,465.25
2019-04-09,93.6500015258789,360,898.75,12.779999732971191,459.5
2019-04-10,94.25,361.75,902,12.8100004196167,458
2019-04-11,90.25,360,895.25,12.65999984741211,460.5
2019-04-12,90.4000015258789,361,895.25,12.770000457763672,464.5
2019-04-15,91.4000015258789,362.75,898.75,12.65999984741211,459.5
2019-04-16,90.5,359,888,12.510000228881836,445
2019-04-17,87.05000305175781,358.25,879,12.350000381469727,447
2019-04-18,90.19999694824219,358.5,880.5,12.760000228881836,444.25
2019-04-22,91.0999984741211,354.75,877,12.539999961853027,435.75
2019-04-23,91.5,351.25,862,12.699999809265137,438.75
2019-04-24,90.44999694824219,346.75,855.25,12.680000305175781,432.25
2019-04-25,92.05000305175781,347.5,859.25,12.359999656677246,434.75
2019-04-26,92.69999694824219,351.25,853.75,12.260000228881836,435
2019-04-29,91.3499984741211,352,847.5,11.630000114440918,426.75
2019-04-30,91.8499984741211,353.25,841.25,11.989999771118164,418.5
2019-05-01,89.80000305175781,360,839.5,12.210000038146973,425
2019-05-02,90.25,362,830.5,12.229999542236328,433.25
2019-05-03,89.25,363,829.5,12.010000228881836,428
2019-05-06,88.80000305175781,355.75,817.5,11.880000114440918,428
2019-05-07,86.6500015258789,358,817.75,11.949999809265137,430.5
2019-05-08,87.19999694824219,355.25,814.25,11.649999618530273,431.25
2019-05-09,89.5,344.5,800.25,11.779999732971191,421.75
2019-05-10,89.44999694824219,342.5,797,11.720000267028809,419
2019-05-13,88.25,347.5,791,11.84000015258789,431.25
2019-05-14,89.55000305175781,360.5,817.75,11.9399995803833,439.25
2019-05-15,89.9000015258789,369.5,835.5,11.850000381469727,448.75
2019-05-16,90,379,839.75,11.779999732971191,467
2019-05-17,87.3499984741211,383.25,821.75,11.550000190734863,465
2019-05-20,88.25,389,831.75,11.619999885559082,478.25
2019-05-21,92.9000015258789,394.25,822,11.8100004196167,478.75
2019-05-22,91.75,394.5,828.5,11.619999885559082,472.75
2019-05-23,93.5,389.75,821.5,11.569999694824219,470.25
2019-05-24,93.30000305175781,404.25,829.75,11.65999984741211,489.5
2019-05-28,96.05000305175781,420.25,856,11.75,504.75
2019-05-29,99.5,418.75,872,11.869999885559082,490.5
2019-05-30,102.3499984741211,436.25,889,11.760000228881836,514.5
2019-05-31,104.5999984741211,427,877.75,12.100000381469727,503
2019-06-03,103.75,424.25,879,12.1899995803833,519.75
2019-06-04,105.6500015258789,425.25,881.75,12.420000076293945,507.25
2019-06-05,99.0999984741211,414.75,869.75,12.210000038146973,490.75
2019-06-06,102.05000305175781,420.5,868.75,12.510000228881836,510
2019-06-07,100.94999694824219,415.75,856.25,12.5,504.5
2019-06-10,98.5999984741211,415.75,858.5,12.399999618530273,507.5
2019-06-11,97,427.75,859.25,12.539999961853027,518
2019-06-12,99.05000305175781,430,878,12.619999885559082,526.25
2019-06-13,97.3499984741211,442,888,12.75,535.5
2019-06-14,96,453,896.75,12.75,538.5
2019-06-17,96.05000305175781,454.75,912.75,12.65999984741211,539.5
2019-06-18,94.30000305175781,449.75,913.5,12.609999656677246,531.5
2019-06-19,96.25,441,903.25,12.5,522.25
2019-06-20,101.05000305175781,450,915.5,12.430000305175781,526.5
2019-06-21,99.80000305175781,442.25,902.75,12.220000267028809,526
2019-06-24,102,446.75,909,12.270000457763672,538
2019-06-25,106.44999694824219,447.5,903.5,12.329999923706055,535.75
2019-06-26,104.9000015258789,443.25,894.25,12.029999732971191,543.75
2019-06-27,105.55000305175781,440,887.75,12.529999732971191,547.5
2019-06-28,108.25,420.25,899.75,12.319999694824219,528
2019-07-01,110.1500015258789,412,885.5,12.569999694824219,514
2019-07-02,108.25,413.5,876.25,12.350000381469727,503.5
2019-07-03,112.25,433,885.25,12.539999961853027,518
2019-07-05,109.44999694824219,434,872.25,12.359999656677246,519.25
2019-07-08,104.75,438.5,875.25,12.449999809265137,516.75
2019-07-09,105.9000015258789,431.75,882.75,12.350000381469727,509.75
2019-07-10,104.3499984741211,434.25,893,12.5,511.75
2019-07-11,105.5,447.75,896.25,12.380000114440918,536.25
2019-07-12,105.19999694824219,449.5,906.75,12.300000190734863,536.25
2019-07-15,108.80000305175781,441,901.75,12.0600004196167,507.75
2019-07-16,104.0999984741211,435.25,887.75,11.989999771118164,507.5
2019-07-17,105.94999694824219,436,882.5,11.789999961853027,505.5
2019-07-18,107.1500015258789,424.5,881.25,11.550000190734863,493.5
2019-07-19,105.8499984741211,430.75,901.5,11.59000015258789,502.5
2019-07-22,105.0999984741211,422.25,888.25,11.5600004196167,487.25
2019-07-23,102.30000305175781,425.5,885.75,11.979999542236328,487.25
2019-07-24,101,424,891,12.0600004196167,497.75
2019-07-25,100.6500015258789,418.5,882.5,12,499.5
2019-07-26,99.75,414.5,883.25,12.020000457763672,496
2019-07-29,101.1500015258789,417,885.75,12.069999694824219,503.5
2019-07-30,99.5,411.25,878.75,12.149999618530273,497.25
2019-07-31,99.6500015258789,400.25,864,12.210000038146973,487.25
2019-08-01,97.25,392.75,847,12.119999885559082,475.75
2019-08-02,98.1500015258789,399.5,850.25,12.020000457763672,490.75
2019-08-05,95.6500015258789,405.25,850.25,11.819999694824219,494.5
2019-08-06,97.05000305175781,404,847.75,11.729999542236328,484
2019-08-07,96.9000015258789,406.5,848.75,11.34000015258789,488.25
2019-08-08,97.4000015258789,411,865,11.430000305175781,498.5
2019-08-09,97.30000305175781,410.25,873.75,11.859999656677246,499.5
2019-08-12,93.75,385.25,861.5,11.5600004196167,471.75
2019-08-13,96.3499984741211,366,872,11.720000267028809,472
2019-08-14,94.44999694824219,359,861,11.609999656677246,473.75
2019-08-15,94.55000305175781,360.75,858,11.630000114440918,469
2019-08-16,92.8499984741211,371,867.25,11.640000343322754,470.75
2019-08-19,91.1500015258789,365,854,11.470000267028809,465.5
2019-08-20,91.44999694824219,359.5,855.75,11.4399995803833,460
2019-08-21,92.8499984741211,362.5,860.5,11.390000343322754,462.5
2019-08-22,93.5,363.25,856,11.579999923706055,467.25
2019-08-23,92.5999984741211,359.75,843.25,11.470000267028809,475.25
2019-08-26,94.1500015258789,358.5,853.75,11.430000305175781,473
2019-08-27,93.80000305175781,357,846.25,11.239999771118164,473.75
2019-08-28,94.19999694824219,362.75,852.75,11.369999885559082,472.25
2019-08-29,91.9000015258789,359.75,856.25,11.210000038146973,469.75
2019-08-30,93.5999984741211,358,857,11.140000343322754,451.25
2019-09-03,92.3499984741211,349.75,856.5,11.1899995803833,447.25
2019-09-04,93.4000015258789,346,862.5,11.010000228881836,456.25
2019-09-05,92.19999694824219,346.5,849.75,10.970000267028809,464
2019-09-06,93.8499984741211,342.5,845,11.020000457763672,460.25
2019-09-09,95,340.75,845,10.920000076293945,474.5
2019-09-10,98.3499984741211,348.5,859.25,10.880000114440918,484.5
2019-09-11,100.1500015258789,348.25,854,10.8100004196167,477.5
