"Date","Corn","LiveCattle","Soybean","SoybeanMeal","Wheat"
2005-01-14,197.25,93,542,162.800003051758,297.5
2005-01-21,197,92.5,516.75,155.800003051758,295.75
2005-01-28,195.75,91,514,154.100006103516,290
2005-02-04,195,90.9250030517578,499.5,148.800003051758,287.75
2005-02-11,198.25,90.0999984741211,525.75,157.100006103516,294.5
2005-02-18,200,88.9499969482422,552.5,169.199996948242,296
2005-02-25,211.5,87.8249969482422,597.5,178.199996948242,323.25
2005-03-04,209,87.5500030517578,622.75,183.800003051758,329
2005-03-11,217.5,88.25,656.75,196,351.5
2005-03-18,219.75,89.9000015258789,649,192.100006103516,356.5
2005-03-24,210.5,88.9000015258789,628.75,188.399993896484,338.5
2005-04-01,212.75,89.7249984741211,614,183.800003051758,322.5
2005-04-08,204,88.2750015258789,612,185.5,310
2005-04-15,206.25,89.4499969482422,616.25,187.399993896484,305.25
2005-04-22,209.25,92.0250015258789,633,196.100006103516,309.25
2005-04-29,204.75,93.9250030517578,619.25,194.5,318
2005-05-06,200.5,90,635,195.399993896484,309.5
2005-05-13,195.25,90,603.75,192,296.5
2005-05-20,213.25,90,632,196.300003051758,313
2005-05-27,221.25,90,667.75,208.699996948242,335
2005-06-03,218.25,84.9749984741211,675.25,215.199996948242,323.25
2005-06-10,210,83.8000030517578,666.25,211.399993896484,313.5
2005-06-17,229,81.1999969482422,724,229,327.5
2005-06-24,232.75,82.1750030517578,744.5,231.199996948242,339.5
2005-07-01,216.5,79.3249969482422,673.5,209.5,324.25
2005-07-08,226.25,79.3499984741211,675.5,211.300003051758,328.5
2005-07-15,257.75,78.5250015258789,721,226.699996948242,348.5
2005-07-22,233.5,79.25,669.25,212.600006103516,330.5
2005-07-29,236.5,81.1999969482422,671.75,212.399993896484,327.75
2005-08-05,220.5,80.5749969482422,658.5,210.899993896484,320
2005-08-12,217.75,79.0749969482422,643,203,321.25
2005-08-19,210.25,80.4749984741211,597.25,186.800003051758,325.25
2005-08-26,203.75,82.375,591,183.699996948242,312.25
2005-09-02,203.5,81.1999969482422,588.5,184.100006103516,305
2005-09-09,203,84.8249969482422,580.5,180.399993896484,313
2005-09-16,206.25,86.0749969482422,571.25,173.5,324.25
2005-09-23,207.25,86.7750015258789,574,171.300003051758,333.5
2005-09-30,205.5,89.125,573.25,167.199996948242,346.25
2005-10-07,202.5,90.25,564.25,165.300003051758,338
2005-10-14,203.5,89.2750015258789,589.5,175.300003051758,339
2005-10-21,201.5,88.5749969482422,572.25,169.399993896484,330
2005-10-28,197,89,565,168.800003051758,317.75
2005-11-04,195.5,91.4749984741211,580.5,176.199996948242,311.25
2005-11-11,195.5,90.4250030517578,593,181.699996948242,311.5
2005-11-18,191.25,91.0250015258789,569.75,172.199996948242,302
2005-11-25,189.75,92.625,554.25,170.100006103516,297
2005-12-02,189.75,93.0250015258789,562.75,173.800003051758,303.5
2005-12-09,189.75,91.9250030517578,568.75,181.600006103516,293
2005-12-16,207.5,95.5250015258789,592.25,191.399993896484,319.75
2005-12-23,214,94.8000030517578,613,203.399993896484,334.5
2005-12-30,215.75,92.4499969482422,602,197.300003051758,339.25
2006-01-06,214.25,NA,600.5,186.899993896484,330.75
2006-01-13,213.5,NA,565,176.5,334.75
2006-01-20,205,NA,568,179.399993896484,326.5
